tmdbId,rating,title,genres
278,4.296774193548387,"Shawshank Redemption, The (1994)",Crime|Drama
550,4.075342465753424,Fight Club (1999),Action|Crime|Drama|Thriller
680,4.0514950166112955,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
629,4.050724637681159,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
238,4.044502617801047,"Godfather, The (1972)",Crime|Drama
13,4.043689320388349,Forrest Gump (1994),Comedy|Drama|Romance|War
11,4.034274193548387,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
603,3.998062015503876,"Matrix, The (1999)",Action|Sci-Fi|Thriller
274,3.992156862745098,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
1891,3.984848484848485,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
155,3.9841772151898733,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
424,3.9833333333333334,Schindler's List (1993),Drama|War
85,3.9098360655737703,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
122,3.9036458333333335,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
1892,3.9026315789473682,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
73,3.9022556390977443,American History X (1998),Crime|Drama
120,3.892156862745098,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
1422,3.888888888888889,"Departed, The (2006)",Crime|Drama|Thriller
510,3.888059701492537,One Flew Over the Cuckoo's Nest (1975),Drama
2493,3.8865248226950353,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
77,3.87125748502994,Memento (2000),Mystery|Thriller
194,3.8661417322834644,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
38,3.8652482269503547,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
197,3.8568464730290457,Braveheart (1995),Action|Drama|War
769,3.8565573770491803,Goodfellas (1990),Crime|Drama
857,3.8554913294797686,Saving Private Ryan (1998),Action|Drama|War
240,3.8516949152542375,"Godfather: Part II, The (1974)",Crime|Drama
762,3.8405797101449277,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
500,3.83984375,Reservoir Dogs (1992),Crime|Mystery|Thriller
935,3.8349514563106797,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
275,3.828402366863905,Fargo (1996),Comedy|Crime|Drama|Thriller
121,3.8205128205128207,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
27205,3.8133333333333335,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
14,3.7918781725888326,American Beauty (1999),Drama|Romance
489,3.7847222222222223,Good Will Hunting (1997),Drama|Romance
497,3.7801724137931036,"Green Mile, The (1999)",Crime|Drama
807,3.7799043062200957,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
289,3.7766990291262137,Casablanca (1942),Drama|Romance
101,3.7765151515151514,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
78,3.7748091603053435,Blade Runner (1982),Action|Sci-Fi|Thriller
105,3.7746913580246915,Back to the Future (1985),Adventure|Comedy|Sci-Fi
63,3.772222222222222,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
28,3.7710280373831777,Apocalypse Now (1979),Action|Drama|War
280,3.770935960591133,Terminator 2: Judgment Day (1991),Action|Sci-Fi
567,3.7701149425287355,Rear Window (1954),Mystery|Thriller
862,3.7466666666666666,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
107,3.735,Snatch (2000),Comedy|Crime|Thriller
103,3.732142857142857,Taxi Driver (1976),Crime|Drama|Thriller
5503,3.7275449101796405,"Fugitive, The (1993)",Thriller
129,3.7268041237113403,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
637,3.71875,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
16869,3.711340206185567,Inglourious Basterds (2009),Action|Drama|War
10681,3.7017543859649122,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
694,3.7017543859649122,"Shining, The (1980)",Horror
12,3.6966666666666668,Finding Nemo (2003),Adventure|Animation|Children|Comedy
600,3.6952380952380954,Full Metal Jacket (1987),Drama|War
1542,3.695,Office Space (1999),Comedy|Crime
627,3.691588785046729,Trainspotting (1996),Comedy|Crime|Drama
137,3.6853146853146854,Groundhog Day (1993),Comedy|Fantasy|Romance
98,3.6845238095238093,Gladiator (2000),Action|Adventure|Drama
24,3.675,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
89,3.6746031746031744,Indiana Jones and the Last Crusade (1989),Action|Adventure
8587,3.6687898089171975,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
14160,3.662280701754386,Up (2009),Adventure|Animation|Children|Drama
598,3.6588235294117646,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
185,3.654166666666667,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
453,3.6507936507936507,"Beautiful Mind, A (2001)",Drama|Romance
568,3.6490384615384617,Apollo 13 (1995),Adventure|Drama|IMAX
808,3.6440677966101696,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
141,3.6379310344827585,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
745,3.625730994152047,"Sixth Sense, The (1999)",Drama|Horror|Mystery
949,3.6179245283018866,Heat (1995),Action|Crime|Thriller
348,3.6079136690647484,Alien (1979),Horror|Sci-Fi
1124,3.605,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller
640,3.6048387096774195,Catch Me If You Can (2002),Crime|Drama
585,3.592857142857143,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
279,3.58974358974359,Amadeus (1984),Drama
812,3.579861111111111,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
562,3.575862068965517,Die Hard (1988),Action|Crime|Thriller
679,3.574380165289256,Aliens (1986),Action|Adventure|Horror|Sci-Fi
115,3.5714285714285716,"Big Lebowski, The (1998)",Comedy|Crime
429,3.5592105263157894,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
272,3.5555555555555554,Batman Begins (2005),Action|Crime|IMAX
329,3.553921568627451,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
9806,3.548507462686567,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
153,3.5481927710843375,Lost in Translation (2003),Comedy|Drama|Romance
641,3.5476190476190474,Requiem for a Dream (2000),Drama
539,3.546511627906977,Psycho (1960),Crime|Horror
393,3.53781512605042,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
37247,3.5375,"Graduate, The (1967)",Comedy|Drama|Romance
747,3.5348837209302326,Shaun of the Dead (2004),Comedy|Horror
22,3.5348101265822787,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
673,3.534313725490196,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
252,3.532110091743119,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
583,3.531578947368421,Monty Python's Life of Brian (1979),Comedy
49026,3.5290697674418605,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX
161,3.528225806451613,Ocean's Eleven (2001),Crime|Thriller
752,3.5275229357798166,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX
235,3.523529411764706,Stand by Me (1986),Adventure|Drama
2118,3.5232558139534884,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
207,3.521978021978022,Dead Poets Society (1989),Drama
581,3.5182481751824817,Dances with Wolves (1990),Adventure|Drama|Western
389,3.5153846153846153,12 Angry Men (1957),Drama
37165,3.507751937984496,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
100,3.5067567567567566,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller
36557,3.5055555555555555,Casino Royale (2006),Action|Adventure|Thriller
2292,3.5,Clerks (1994),Comedy
11324,3.5,Shutter Island (2010),Drama|Mystery|Thriller
218,3.4957627118644066,"Terminator, The (1984)",Action|Sci-Fi|Thriller
524,3.49438202247191,Casino (1995),Crime|Drama
157336,3.493827160493827,Interstellar (2014),Sci-Fi|IMAX
903,3.4913793103448274,Cool Hand Luke (1967),Drama
62,3.4863636363636363,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
492,3.485,Being John Malkovich (1999),Comedy|Drama|Fantasy
2501,3.4786324786324787,"Bourne Identity, The (2002)",Action|Mystery|Thriller
10193,3.476923076923077,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX
578,3.4767441860465116,Jaws (1975),Action|Horror
68718,3.475,Django Unchained (2012),Action|Drama|Western
10020,3.470833333333333,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
104,3.4675324675324677,Run Lola Run (Lola rennt) (1998),Action|Crime
782,3.458823529411765,Gattaca (1997),Drama|Sci-Fi|Thriller
1726,3.4558823529411766,Iron Man (2008),Action|Adventure|Sci-Fi
68,3.4523809523809526,Brazil (1985),Fantasy|Sci-Fi
118340,3.448529411764706,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi
45269,3.448529411764706,"King's Speech, The (2010)",Drama
146,3.4473684210526314,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
134,3.44,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
786,3.4395604395604398,Almost Famous (2000),Drama
18,3.436974789915966,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
773,3.4367816091954024,Little Miss Sunshine (2006),Adventure|Comedy|Drama
187,3.435483870967742,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller
213,3.4344262295081966,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
15,3.4324324324324325,Citizen Kane (1941),Drama|Mystery
2108,3.4310344827586206,"Breakfast Club, The (1985)",Comedy|Drama
829,3.425,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
199,3.4235294117647057,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
4638,3.4214285714285713,Hot Fuzz (2007),Action|Comedy|Crime|Mystery
1669,3.4166666666666665,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
671,3.4166666666666665,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
9377,3.414285714285714,Ferris Bueller's Day Off (1986),Comedy
8374,3.4134615384615383,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller
595,3.4126984126984126,To Kill a Mockingbird (1962),Drama
380,3.410891089108911,Rain Man (1988),Drama
