movieId,title,genres,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862
3,Grumpier Old Men (1995),Comedy|Romance,15602
6,Heat (1995),Action|Crime|Thriller,949
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,755
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,13685
110,Braveheart (1995),Action|Drama|War,197
151,Rob Roy (1995),Action|Drama|Romance|War,11780
157,Canadian Bacon (1995),Comedy|War,1775
163,Desperado (1995),Action|Romance|Western,8068
216,Billy Madison (1995),Comedy,11017
223,Clerks (1994),Comedy,2292
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,8467
235,Ed Wood (1994),Comedy|Drama,522
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,11
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,680
316,Stargate (1994),Action|Adventure|Sci-Fi,2164
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,9331
356,Forrest Gump (1994),Comedy|Drama|Romance|War,13
362,"Jungle Book, The (1994)",Adventure|Children|Romance,10714
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,854
423,Blown Away (1994),Action|Thriller,178
441,Dazed and Confused (1993),Comedy,9571
457,"Fugitive, The (1993)",Thriller,5503
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,329
500,Mrs. Doubtfire (1993),Comedy|Drama,788
527,Schindler's List (1993),Drama|War,424
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,10442
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,10057
553,Tombstone (1993),Action|Drama|Western,11969
590,Dances with Wolves (1990),Adventure|Drama|Western,581
592,Batman (1989),Action|Crime|Thriller,268
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,274
596,Pinocchio (1940),Animation|Children|Fantasy|Musical,10895
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,954
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,2300
733,"Rock, The (1996)",Action|Adventure|Thriller,9802
736,Twister (1996),Action|Adventure|Romance|Thriller,664
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,602
804,She's the One (1996),Comedy|Romance,11363
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,630
923,Citizen Kane (1941),Drama|Mystery,15
940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,10907
943,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance,22292
954,Mr. Smith Goes to Washington (1939),Drama,3083
1023,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical,81310
1024,"Three Caballeros, The (1945)",Animation|Children|Musical,15947
1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,9078
1029,Dumbo (1941),Animation|Children|Drama|Musical,11360
1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical,11114
